Product Code:,Animal Species,Establishment Code,Establishment Name,Subsidiaries,Product True Name,Agent(s):,Trade Name(s):,Distributor(s):,Usage,Dosage_and_TimePeriod,Dosage_Source_Reference,Usage_Improved
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7919"">462920</a>",Canine,190,Zoetis Inc.,Not Applicable,"Canine Distemper-Adenovirus Type 2 Vaccine, Modified Live Virus, Leptospira Canicola-Icterohaemorrhagiae Bacterin","Leptospira canicola; Leptospira icterohaemorrhagiae; Adenovirus, Canine, Type 2; Paramyxovirus, Canine (Distemper)",Vanguard DA2L,Zoetis Mexico,"A vaccine for canines that helps protect against leptospira canicola; leptospira icterohaemorrhagiae; adenovirus, canine, type 2; paramyxovirus, canine (distemper).",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against leptospira canicola; leptospira icterohaemorrhagiae; adenovirus, canine, type 2; paramyxovirus, canine (distemper)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7918"">176111</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Newcastle-Bronchitis Vaccine, B1 Type, B1 Strain, Mass Type, Live Virus","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",Poulvac Hitchner B1 + BIMM;  Newcastle-Bronchitis Vaccine,Zoetis de Uruguay S.R.L.; Zoetis Argentina; AMCOVET SA.; CASAVET,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7908"">277502</a>",Swine,190,Zoetis Inc.,Not Applicable,Mycoplasma Hyopneumoniae Bacterin,Mycoplasma hyopneumoniae,Suvaxyn MH One,No distributor specified,A bacterin for swines that provides immunity against mycoplasma hyopneumoniae.,Inject 1 mL intramuscularly (IM). Often 2-dose primary series with second dose 14 days after first; follow label for herd protocols.,"Pharmgate / product inserts (MycoGard, RespiSure).",A bacterin for swines that provides immunity against mycoplasma hyopneumoniae.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7907"">11c820</a>",Bovine,605,"Huvepharma, Inc.",Not Applicable,"Bovine Rhinotracheitis-Parainfluenza 3-Respiratory Syncytial Virus-Mannheimia Haemolytica-Pasteurella Multocida Vaccine, Modified Live Virus, Avirulent Live Culture","Herpesvirus, Bovine (IBR); Mannheimia (Pasteurella) haemolytica; Parainfluenza 3 Virus, Bovine; Pasteurella multocida (Untyped); Respiratory Syncytial Virus, Bovine",PrimeLine IN5,No distributor specified,"A vaccine for bovines that helps protect against herpesvirus, bovine (ibr); mannheimia (pasteurella) haemolytica; parainfluenza 3 virus, bovine; pasteurella multocida (untyped); respiratory syncytial virus, bovine.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for bovines that helps protect against herpesvirus, bovine (ibr); mannheimia (pasteurella) haemolytica; parainfluenza 3 virus, bovine; pasteurella multocida (untyped); respiratory syncytial virus, bovine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7906"">49R5R0</a>",Swine,165A,Intervet Inc.,Merck Animal Health,"Porcine Circovirus Vaccine, Type 2, Killed Baculovirus Vector, Lawsonia Intracellularis Bacterin","Circovirus, Porcine, Type 2; Lawsonia intracellularis",Circumvent C-L,No distributor specified,"A vaccine for swines that helps protect against circovirus, porcine, type 2; lawsonia intracellularis.",Administer 1 mL intramuscularly (IM) or as specified on label; many labels call for a single 1 mL dose at 3 weeks of age or older.,"Boehringer-Ingelheim / Merck product inserts (Circumvent, d-FENSE).","A vaccine for swines that helps protect against circovirus, porcine, type 2; lawsonia intracellularis."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7897"">104500</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Avian Reovirus Vaccine, Killed Virus","Reovirus, Avian (Unspecified Syndrome)",Tri-Reo,Zoetis Argentina; Zoetis Belgium SA; Zoetis Import Egypt; Zoetis India Limited; Amcovet,"A vaccine for chickens that helps protect against reovirus, avian (unspecified syndrome).",Inject 0.5 mL subcutaneously per bird; revaccinate 4-6 weeks or as directed on label.,AviPro / manufacturer product inserts.,"A vaccine for chickens that helps protect against reovirus, avian (unspecified syndrome)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7835"">15Q520</a>",Canine,196,Elanco US Inc.,Elanco US Inc.,"Canine Influenza Vaccine, H3N2 & H3N8, Killed Virus","Influenza Virus, Canine, H3N2; Influenza Virus, Canine, H3N8",TruCan Ultra CIV H3N2/H3N8,No distributor specified,"A vaccine for canines that helps protect against influenza virus, canine, h3n2; influenza virus, canine, h3n8.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against influenza virus, canine, h3n2; influenza virus, canine, h3n8."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7834"">105111</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Avian Encephalomyelitis Vaccine, Live Virus","Enterovirus, Avian (Encephalomyelitis)",AE-Vac; AE-Vac LYO,Zoetis Argentina; Zoetis Mexico; Zoetis Korea,"A vaccine for chickens that helps protect against enterovirus, avian (encephalomyelitis).","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for chickens that helps protect against enterovirus, avian (encephalomyelitis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7833"">171110</a>",Chicken,190,Zoetis Inc.,Not Applicable,"Newcastle Disease Vaccine, B1 Type, B1 Strain, Live Virus","Paramyxovirus, Avian (Newcastle)",Newcastle B1,Zoetis Argentina; Zoetis Russia;,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/node/7822"">706000</a>",Swine,190,Zoetis Inc.,Not Applicable,Bordetella Bronchiseptica-Pasteurella Multocida BacterinToxoid,Bordetella bronchiseptica; Pasteurella multocida (Untyped),Aradicator,"Zoetis Argentina; Zoetis Japan Inc.; Zoetis Korea; Zoetis Industria Produtos Veterinarios Ltda.; Zoetis Panama; Zoetis Philippines, Inc.",A bacterin for swines that provides immunity against bordetella bronchiseptica; pasteurella multocida (untyped).,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for swines that provides immunity against bordetella bronchiseptica; pasteurella multocida (untyped).
